Company,Planned Delivery Date Due,Order,Line,,Sold-to Business Partner,Item,Item Code,Item Description,Price,,Ordered Quantity,Unit,Initial Requested Delivery Date,Customer Requested Delivery Date,Original Promised Delivery Date,Planned Delivery Date,Planned Receipt Date,Release Date,Actual Delivery Date,Delivered Quantity,,Delivery Status,Status,Project Reference,Production/Purchase Site,Quantity Type in Package,Sent From WEST,Split,Standard Price
1055,-20,SO0000003,10,0,B00010441,SO0000003,EBUS_CD,ECOBUS CO800O CH=2000,1200,pcs,2,pcs,11/3/2021 11:08,11/3/2021 11:08,11/3/2021 11:08,11/3/2021 11:08,11/3/2021 11:08,11/3/2021 11:08,,0,pcs,Open,Print Sales Order Acknowledgements/RMAs,,ES01N0301,Multiple,No,No,1200
1055,-19,SO0000004,10,0,B00001973,,TEST ITEM 0,# Test RESSL Martin,0,pcs,1,pcs,11/4/2021 16:02,11/4/2021 16:02,11/4/2021 16:02,11/4/2021 16:02,11/4/2021 16:02,11/4/2021 16:02,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,0
1055,-19,SO0000005,10,0,B00001973,SO0000005,TEST ITEM 1,ELC BRD MD-SP EN81-1 W/MGN,0,pcs,1,pcs,11/4/2021 16:17,11/4/2021 16:17,11/4/2021 16:17,11/4/2021 16:17,11/4/2021 16:17,11/4/2021 16:17,,0,pcs,Open,Release Sales Orders to Warehousing,,ES01N0301,Multiple,No,No,0
1055,-19,SO0000006,10,0,B00001973,,TEST ITEM 11,# Test RESSL Martin,0,pcs,1,pcs,11/4/2021 16:27,11/4/2021 16:27,11/4/2021 16:27,11/4/2021 16:27,11/4/2021 16:27,11/4/2021 16:27,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,0
1055,-19,SO0000007,10,0,B00001973,,TEST ITEM 2,# Test RESSL Martin,0,pcs,1,pcs,11/4/2021 16:33,11/4/2021 16:33,11/4/2021 16:33,11/4/2021 16:33,11/4/2021 16:33,11/4/2021 16:33,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,0
1055,-19,SO0000008,10,0,B00001973,,TEST ITEM 21,# Test RESSL Martin,0,pcs,1,pcs,11/4/2021 16:38,11/4/2021 16:38,11/4/2021 16:38,11/4/2021 16:38,11/4/2021 16:38,11/4/2021 16:38,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,0
1055,-19,SO0000009,10,0,B00001973,,TEST ITEM 3,# Test RESSL Martin,0,pcs,1,pcs,11/4/2021 16:43,11/4/2021 16:43,11/4/2021 16:43,11/4/2021 16:43,11/4/2021 16:43,11/4/2021 16:43,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,0
1055,-19,SO0000009,20,0,B00001973,,TEST ITEM 31,# Test RESSL Martin,0,pcs,1,pcs,11/4/2021 16:43,11/4/2021 16:43,11/4/2021 16:43,11/4/2021 16:43,11/4/2021 16:43,11/4/2021 16:43,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,0
1055,-14,SO0000056,10,0,B00010479,SO0000056,0902195A03CUS,Gear motor SUPRA customizable,953,pcs,2,pcs,11/9/2021 8:44,11/9/2021 8:44,11/9/2021 8:44,11/9/2021 8:44,11/9/2021 8:44,11/9/2021 8:44,,0,pcs,Open,Print Sales Order Acknowledgements/RMAs,,ES01N0301,Multiple,No,No,953
1055,-14,SO0000065,10,0,B00001973,SO0000065,EBUS_CD,ECOBUS CO650O CH=2000,1009.28,pcs,1,pcs,11/9/2021 15:08,11/9/2021 15:08,11/9/2021 15:08,11/9/2021 15:08,11/9/2021 15:08,11/9/2021 15:08,,0,pcs,Open,Print Sales Order Acknowledgements/RMAs,proj#,ES01N0301,Multiple,No,No,1009.28
1055,-14,SO0000066,10,0,B00010194,,S_EBUS_CD,Car Door ECOBUS,0,pcs,1,pcs,,11/9/2021 15:17,11/9/2021 15:17,11/9/2021 15:17,11/9/2021 15:17,11/9/2021 15:17,,0,pcs,Open,Generate (Project PCS) Structure for Sales Orders,,ES01N0301,Multiple,No,No,0
1055,-14,SO0000066,20,0,B00010194,,S_AEVO_CD,Car Door AUGUSTAEVO,0,pcs,1,pcs,11/9/2021 15:17,11/9/2021 15:17,11/9/2021 15:17,11/9/2021 15:17,11/9/2021 15:17,11/9/2021 15:17,,0,pcs,Open,Generate (Project PCS) Structure for Sales Orders,,ES01N0301,Multiple,No,No,0
1055,-13,SO0000079,10,0,B00001973,,S_EBUS_CD,Car Door ECOBUS,1035.86,pcs,1,pcs,11/10/2021 14:05,11/10/2021 14:05,11/10/2021 14:05,11/10/2021 14:05,11/10/2021 14:05,11/10/2021 14:05,,0,pcs,Open,Approve the Sales Order,Project ref#,ES01N0301,Multiple,No,No,0
1055,-13,SO0000010,10,0,B00001973,,S_EBUS_CD,Car Door ECOBUS,1009.28,pcs,1,pcs,11/10/2021 16:07,11/10/2021 16:07,11/10/2021 16:07,11/10/2021 16:07,11/10/2021 16:07,11/10/2021 16:07,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,1009.28
1055,-13,SO0000030,10,0,B00001973,SO0000030,EBUS_CD,ECOBUS CO650O CH=2000,1009.28,pcs,1,pcs,11/10/2021 19:30,11/10/2021 19:30,11/10/2021 19:30,11/10/2021 19:30,11/10/2021 19:30,11/9/2021 19:30,,0,pcs,Open,Print Sales Order Acknowledgements/RMAs,,ES01N0301,Multiple,No,No,1009.28
1055,-13,SO0000039,10,0,B00001973,SO0000039,EBUS_CD,ECOBUS CO650O CH=2000,1009.28,pcs,1,pcs,11/10/2021 19:30,11/10/2021 19:30,11/10/2021 19:30,11/10/2021 19:30,11/10/2021 19:30,11/9/2021 19:30,,0,pcs,Open,Print Sales Order Acknowledgements/RMAs,p01,ES01N0301,Multiple,No,No,1009.28
1055,-11,SO0000117,10,0,B00001973,,S_EBUS_CD,Car Door ECOBUS,1022.4,pcs,1,pcs,11/12/2021 11:10,11/12/2021 11:10,11/12/2021 11:10,11/12/2021 11:10,11/12/2021 11:10,11/12/2021 11:10,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,1009.28
1055,-11,SO0000044,10,0,B00001973,SO0000044,EBUS_CD,ECOBUS CO1100 CH=2100,1120.18,pcs,1,pcs,11/12/2021 12:45,11/12/2021 12:45,11/12/2021 12:45,11/12/2021 12:45,11/12/2021 12:45,11/11/2021 12:45,,0,pcs,Open,Print Sales Order Acknowledgements/RMAs,,ES01N0301,Multiple,No,No,1120.18
1055,-11,SO0000067,10,0,B00001973,SO0000067,EBUS_CD,ECOBUS CO950O CH=2000,1035.86,pcs,1,pcs,11/12/2021 15:04,11/12/2021 15:04,11/12/2021 15:04,11/12/2021 15:04,11/12/2021 15:04,11/11/2021 15:04,,0,pcs,Open,Awaiting delivery.,Test Finance # 6,ES01N0301,Multiple,No,No,1035.86
1055,-11,SO0000067,20,0,B00001973,SO0000067,EBUS_CD           001,ECOBUS CO800O CH=2100,1118.98,pcs,1,pcs,11/12/2021 15:04,11/12/2021 15:04,11/12/2021 15:04,11/12/2021 15:04,11/12/2021 15:04,11/11/2021 15:04,,0,pcs,Open,Awaiting delivery.,Test Finance # 6,ES01N0301,Multiple,No,No,1118.98
1055,0,SO0000092,10,0,B00001973,SO0000092,EBUS_CD,ECOBUS CO650O CH=2000,1009.28,pcs,1,pcs,11/12/2021 15:20,11/12/2021 15:20,11/12/2021 15:20,11/12/2021 15:20,11/12/2021 15:20,11/11/2021 15:20,11/12/2021 19:40,1,pcs,Delivered,Deleting line.....,Project ref#,ES01N0301,Multiple,No,No,1009.28
1055,-9,SO0000040,10,0,B00001973,SO0000040,S_AEVO_CD,Car Door AUGUSTAEVO,0,pcs,3,pcs,11/15/2021 0:00,11/15/2021 0:00,11/15/2021 0:00,11/15/2021 0:00,11/15/2021 0:00,11/12/2021 0:00,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,0
1055,-9,SO0000050,10,0,B00001973,,S_EBUS_CD,Car Door ECOBUS,0,pcs,1,pcs,11/15/2021 0:00,11/15/2021 0:00,11/15/2021 0:00,11/15/2021 0:00,11/15/2021 0:00,11/15/2021 0:00,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,1009.28
1055,-9,SO0000051,10,0,B00001973,SO0000051,S_AEVO_CD,Car Door AUGUSTAEVO,0,pcs,1,pcs,11/15/2021 0:00,11/15/2021 0:00,11/15/2021 0:00,11/15/2021 0:00,11/15/2021 0:00,11/12/2021 0:00,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,0
1055,-9,SO0000051,20,0,B00001973,SO0000051,S_AEVO_CD         001,Car Door AUGUSTAEVO,0,pcs,1,pcs,11/15/2021 0:00,11/15/2021 0:00,11/15/2021 0:00,11/15/2021 0:00,11/15/2021 0:00,11/12/2021 0:00,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,0
1055,-8,SO0000130,10,0,B00000641,,1000201 SINGLE LANGUAGE,Lot + Safety SINGLE LANGUAGE,0,pcs,10,pcs,11/15/2021 9:45,11/15/2021 9:45,11/15/2021 9:45,11/15/2021 9:45,11/15/2021 9:45,11/15/2021 9:45,,0,pcs,Open,Awaiting delivery.,,ES01N0301,Multiple,No,No,0
1055,-7,SO0000088,10,0,B00001973,SO0000088,EBUS_CD,ECOBUS CO650O CH=2000,1022.4,pcs,1,pcs,11/16/2021 8:59,11/16/2021 8:59,11/16/2021 8:59,11/16/2021 8:59,11/16/2021 8:59,11/15/2021 8:59,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,1009.28
